# alpha	MC_lin	MC_nl	MC_total
0.100000	3.079957	2.764017	5.843974
0.150000	3.413047	2.303380	5.716427
0.200000	3.360632	2.223029	5.583661
0.250000	3.009954	2.092782	5.102736
0.300000	2.519395	1.837747	4.357141
0.350000	2.120384	1.492313	3.612697
0.400000	1.857002	1.394795	3.251797
0.450000	1.643693	1.204098	2.847792
0.500000	1.354120	0.929495	2.283615
0.550000	1.244175	0.798365	2.042540
0.600000	1.088752	0.660499	1.749250
0.650000	1.031597	0.595973	1.627570
0.700000	0.947773	0.467192	1.414965
0.750000	0.921138	0.452712	1.373850
0.800000	0.822409	0.324975	1.147384
0.850000	0.745684	0.304127	1.049811
0.900000	0.762119	0.242470	1.004590
0.950000	0.756180	0.202018	0.958198
1.000000	0.733303	0.165765	0.899068
